14,Rainbow Grocery,0,1745 Folsom St,San Francisco,CA,US,94103-3711,37.769009,-122.415649,1,"behind customer server, near the parking garage","need a key --- on cust service desk. sometimes they\'re both taken, wait by the comment board",0000-00-00 00:00:00,1/29/13,1,rainbow-grocery-co-op-san-francisco14
15,Beanery,0,1307 9th Ave,San Francisco,CA,US,94122-2308,37.76375,-122.466456,1,"in back, behind the counter",,0000-00-00 00:00:00,0000-00-00,0,beanery-san-francisco15
16,Coffee To The People,0,1206 Masonic St,San Francisco,CA,US,94117-2917,37.770064,-122.445174,1,towards the rear of the coffee shop.,usually clean,0000-00-00 00:00:00,0000-00-00,0,coffee-to-the-people-san-francisco16
17,Caffe Roma,0,526 Columbus Ave,San Francisco,CA,US,94133-2802,37.79986,-122.409267,1,down a steep flight of stairs!,"kinda sketch, but hey, it's a place to pee in north beach...",0000-00-00 00:00:00,0000-00-00,0,cafe-roma-san-francisco17
18,Maxfield's House of Caffeine,0,398 Dolores St,san francisco,ca,US,94110-1078,37.76314,-122.426473,1,in back to the left,no key,0000-00-00 00:00:00,0000-00-00,0,maxfields-house-of-caffine-san-francisco1819,Cafe Espresso,0,462 Powell,san francisco,CA,US,94102-1504,37.788854,-122.408345,1,,up a steep hill,0000-00-00 00:00:00,0000-00-00,0,cafe-espresso-san-francisco19
41,Church Street Cafe,0,262 Church St,San Francisco,CA,US,94114-1311,37.766657,-122.428856,1,in the back,Need to get a key,0000-00-00 00:00:00,8/13/11,3,church-street-cafe-san-francisco41
21,Muddy's Coffee House,0,1304 Valencia,San Francisco,CA,US,94110-3715,37.7519,-122.4209,1,,,0000-00-00 00:00:00,0000-00-00,0,muddy-waters-san-francisco21
38,Bang San Thai,1,791 Ofarrell St,San Francisco,CA,US,94109-7114,37.785067,-122.417648,1,in back to the left,two single stall gendered. different owners from mekong (closed in 2008) but still a nice place,0000-00-00 00:00:00,8/14/10,6,bang-san-thai-restuarant-san-francisco38
37,Rocking Java,0,1821 Haight St,SAN FRANCISCO,CA,US,94117-2711,37.76921,-122.452309,1,,cool walls,0000-00-00 00:00:00,0000-00-00,0,rocking-java-san-francisco37
67,Pottery Barn,1,2390 Market Street,SAN FRANCISCO,CA,US,94114-1521,37.762896,-122.435026,1,"Second floor, in the back.","You may have to walk around and pretend that you're looking at stuff to use the restrooms. There are 2 stalls (gendered) and they both lock. It's in a corner, so no one will really see which stall anyone goes into.",0000-00-00 00:00:00,0000-00-00,0,pottery-barn-san-francisco67
50,Muddy Water's Coffee,0,521 Valencia St,SAN FRANCISCO,CA,US,94110-1114,37.764496,-122.421674,1,"in the back, you need to be buzzed in",,0000-00-00 00:00:00,0000-00-00,0,muddy-waters-coffee-san-francisco50
51,GLBT Historical Society,0,989 Market St,SAN FRANCISCO,CA,US,94103,37.7824,-122.4097,1,"3rd Floor, has elevator. Open Tues-Sat, 1-5 pm.",Also worth a visit for their collection of GLBT historical material!,0000-00-00 00:00:00,0000-00-00,0,glbt-historical-society-san-francisco51
52,El Rio,0,3158 Mission St,SAN FRANCISCO,CA,US,94110-4560,37.746667,-122.419385,1,Back right of main bar room.,"Restrooms are labeled based on hardware available: urinals in one, toilets in the other. Not labeled by gender.",0000-00-00 00:00:00,0000-00-00,0,el-rio-san-francisco52
53,The SF LGBT Center,0,1800 Market St.,SAN FRANCISCO,CA,US,94102-6227,37.771704,-122.423845,1,"Gender-free restroom on the main floor near the elevators, and also in the Three Dollar Bill Cafe.",,0000-00-00 00:00:00,0000-00-00,0,lgbt-community-center-san-francisco53
82,Dolores Park Cafe,0,501 Dolores,SAN FRANCISCO,CA,US,94110-1564,37.761278,-122.425808,1,in the back!,,0000-00-00 00:00:00,0000-00-00,0,dolores-park-cafe-san-francisco82
